,city_ascii,state_id,state_name,lat,lng,id,url
646,Hilton Head Island,SC,South Carolina,32.1896,-80.7499,1840016974,https://lh5.googleusercontent.com/p/AF1QipOHIbn0P2FpidTGssTVfYGcz_bx4gAEqfhC0bZ8=w408-h408-k-no
647,Centreville,VA,Virginia,38.8391,-77.4388,1840006015,https://lh5.googleusercontent.com/p/AF1QipPEeueoK-01xaPLeGMLvcy9WjTTY9oBi2o5KfuA=w426-h240-k-no
648,Union City,CA,California,37.603,-122.0187,1840021539,https://lh5.googleusercontent.com/p/AF1QipMRrH7b7_Gk637ZTJvF6GTCjXyHLeXhVg5l9mdX=w408-h306-k-no
649,Owensboro,KY,Kentucky,37.7574,-87.1173,1840014340,https://lh5.googleusercontent.com/p/AF1QipN1cGXUod-uVQsi1Al-jbaAkYc12BFpaIHsIEls=w408-h306-k-no
650,Jackson,TN,Tennessee,35.6535,-88.8353,1840014528,https://lh5.googleusercontent.com/p/AF1QipMdY5RnkupW5TZgdbuScKWmFCM73UXjdpbhV88e=w408-h306-k-no
651,Cleveland,TN,Tennessee,35.1817,-84.8707,1840014603,https://lh5.googleusercontent.com/p/AF1QipPoPSEfoD142S5Xfv-Ib6pzUEeDBRI6l_gnhcMk=w408-h725-k-no
652,Wausau,WI,Wisconsin,44.961999999999996,-89.6459,1840002163,https://lh5.googleusercontent.com/p/AF1QipNxtRbDKipExQ1EnQ66Jpn2DSw3TasDL1Q9Eco=w408-h725-k-no
653,Camden,NJ,New Jersey,39.9362,-75.1073,1840001507,https://lh5.googleusercontent.com/p/AF1QipOgk9qiImVUYLu1RB2CnoBuo0b2hdEafIStE8BW=w408-h408-k-no
654,Anniston,AL,Alabama,33.6712,-85.8136,1840006563,https://lh5.googleusercontent.com/p/AF1QipNMRW5_xmol8YNQJNl8uq5oLW_XnmSv3_Bvheng=w408-h544-k-no
655,Evanston,IL,Illinois,42.0463,-87.6942,1840008129,https://lh5.googleusercontent.com/p/AF1QipPa5wSrlaFJBHqcmfg9zK172X6IQcrE4gjog9Gx=w408-h272-k-no
656,Apple Valley,CA,California,34.5328,-117.2104,1840021733,https://lh5.googleusercontent.com/p/AF1QipOmzG3fGq9xhTplvuo4Hd04c4QeTy_VHdMns4dQ=w408-h408-k-no
657,Mansfield,OH,Ohio,40.7656,-82.5275,1840000960,https://lh5.googleusercontent.com/p/AF1QipM2ETYKoEKzN_7CRsdteuAijnaGF6wWbAA6WCi8=w408-h544-k-no
658,Caguas,PR,Puerto Rico,18.2319,-66.0388,1630023540,//maps.gstatic.com/tactile/pane/default_geocode-2x.png
659,Schaumburg,IL,Illinois,42.0307,-88.0838,1840011319,https://lh5.googleusercontent.com/p/AF1QipMhyEUVbMaDufuYFkGRTIy3KJQKsOzLm9cRXnTZ=w408-h305-k-no
660,Pocatello,ID,Idaho,42.8724,-112.4646,1840013376,https://lh5.googleusercontent.com/p/AF1QipNuXolSMLDjD4V68qWajBunNcbVjaNhXrPWGGvX=w408-h544-k-no
661,Woodbury,MN,Minnesota,44.9056,-92.92299999999999,1840009998,https://lh5.googleusercontent.com/p/AF1QipMQ5l6j82Tq3VStvdgt8k7FGPXLaL7l_Cg-aSx_=w408-h544-k-no
662,Southfield,MI,Michigan,42.4765,-83.2605,1840002431,https://lh5.googleusercontent.com/p/AF1QipPk0CabxufiYAVz0eDCqslCVpGhPCNMJaUbZowr=w408-h272-k-no
663,Ellicott City,MD,Maryland,39.2773,-76.8344,1840005802,https://lh5.googleusercontent.com/p/AF1QipM7qoluFgDhzDE8aFvYlc204iGn12Zsxov6d918=w408-h266-k-no
664,Dale City,VA,Virginia,38.6473,-77.3459,1840006094,https://lh5.googleusercontent.com/p/AF1QipPxt7IDdk7O3swXaqAVZcqcqc3x5Y_D-gaQuQH5=w408-h725-k-no
